"items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","","","Breakeven","The Script","The Script","spotify:track:38xWaVFKaxZlMFvzNff2aW","null","null","null","2024-12-17","",""
"","","","","","","Little Talks","Of Monsters and Men","My Head Is An Animal","spotify:track:2ihCaVdNZmnHZWt0fvAM7B","null","null","null","2024-12-17","",""
"","","","","","","Home","Matthew Hall","Home","spotify:track:4D4rnN24jBfKC731dK3oFL","null","null","null","2024-12-17","",""
"","","","","","","You’re Gonna Go Far","Noah Kahan","Stick Season","spotify:track:4nHJcUtNSUVjXRnjdP29Bk","null","null","null","2024-12-17","",""
"","","","","","","If You Love Her","Forest Blakk","If You Love Her","spotify:track:727Z2S2mtNH46CbP9EWPwY","null","null","null","2024-12-17","",""
"","","","","","","All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo","All I Want","spotify:track:4Yxc55NX3tAXC2mHRAhtcW","null","null","null","2024-12-17","",""
"","","","","","","Solo","Myles Smith","Solo","spotify:track:4Skkx52Dh8yo4G1ijAEGs3","null","null","null","2024-12-17","",""
"","","","","...","2025-01-31","Dreamer","Laufey","Bewitched","spotify:track:1YxQxV5sKZN1TgVpXl5MLA","null","null","null","2024-10-10","null","0"
"","","","","","","From The Start","Laufey","From The Start","spotify:track:1Ukxccao1BlWrPhYkcXbwZ","null","null","null","2024-10-10","",""
"","","","","","","About You","The 1975","Being Funny In A Foreign Language","spotify:track:1fDFHXcykq4iw8Gg7s5hG9","null","null","null","2024-10-10","",""
"","","","","","","Bewitched","Laufey","Bewitched","spotify:track:0pfpeTGQOWlGp6YUUbBD42","null","null","null","2024-10-10","",""
"","","","","","","Mardy Bum","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","spotify:track:2fyIS6GXMgUcSv4oejx63f","null","null","null","2024-10-10","",""
"","","","","","","Lovesick","Laufey","Bewitched","spotify:track:39fD0qvjgk8RarJnoBiDTx","null","null","null","2024-10-11","",""
"","","","","","","Promise","Laufey","Bewitched","spotify:track:08PdFBcXzpkn1cWNgmKqhn","null","null","null","2024-10-11","",""
"","","","","","","On Melancholy Hill","Gorillaz","Plastic Beach","spotify:track:0q6LuUqGLUiCPP1cbdwFs3","null","null","null","2024-10-11","",""
"","","","","","","Everyone Adores You (at least I do)","Matt Maltese","Good Morning It's Now Tomorrow","spotify:track:6klFWv2xDGeTDoiKTtx4hg","null","null","null","2024-10-11","",""
"","","","","","","seasons","wave to earth","summer flows 0.02","spotify:track:5VBjyOQzqlPNgdRPMM6prF","null","null","null","2024-10-11","",""
"","","","","","","I'm In Love With You","The 1975","Being Funny In A Foreign Language","spotify:track:12g9IeQzX7xECLNxz8dpb5","null","null","null","2024-10-21","",""
"","","","","","","Sweet","Cigarettes After Sex","Cigarettes After Sex","spotify:track:6ilc4vQcwMPlvAHFfsTGng","null","null","null","2024-10-21","",""
"","","","","","","next to you","JVKE","next to you","spotify:track:1GmZgx9giHMoqXqYBqbtw7","null","null","null","2024-10-26","",""
"","","","","","","her","JVKE","her","spotify:track:6G9YlbU3ByPJQvOFDRdwyM","null","null","null","2024-10-28","",""
"","","","","","","this is what forever feels like (with Nick Jonas)","JVKE","this is what forever feels like","spotify:track:3uTsiaNxy6h6EAd7MsCf9D","null","null","null","2024-10-28","",""
"","","","","","","December 25th","Charlie Puth","December 25th","spotify:track:1QNPTNaw67BanVtwXKIX1a","null","null","null","2024-11-09","",""
"","","","","","","Something Just Like This / Hungarian Rhapsody","Franz Liszt","Something Just Like This / Hungarian Rhapsody","spotify:track:7tPETW7bPcWw0IpTkeo150","null","null","null","2024-11-09","",""
"","","","","","","Away With The Fairies","Sam Temple","Away With The Fairies","spotify:track:4bfVIKrF2QDURgO6o4OEQH","null","null","null","2025-01-31","",""
"","","","","Tswift","2024-08-23","Paper Rings","Taylor Swift","Lover","spotify:track:4y5bvROuBDPr5fuwXbIBZR","null","null","null","2024-08-23","null","0"
"","","","","","","I Knew You Were Trouble.","Taylor Swift","Red","spotify:track:6FB3v4YcR57y4tXFcdxI1E","null","null","null","2024-08-23","",""
"","","","","","","Style (Taylor's Version)","Taylor Swift","1989 (Taylor's Version)","spotify:track:3Vpk1hfMAQme8VJ0SNRSkd","null","null","null","2024-08-23","",""
"","","","","","","Love Story (Taylor’s Version)","Taylor Swift","Fearless (Taylor's Version)","spotify:track:6YvqWjhGD8mB5QXcbcUKtx","null","null","null","2024-08-23","",""
"","","","","","","You Belong With Me (Taylor’s Version)","Taylor Swift","Fearless (Taylor's Version)","spotify:track:1qrpoAMXodY6895hGKoUpA","null","null","null","2024-08-23","",""
"","","","","","","Cruel Summer","Taylor Swift","Lover","spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","null","null","null","2024-08-23","",""
"","","","","","","I Knew You Were Trouble (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","spotify:track:6tNSmBKSjFV1366ASuULfZ","null","null","null","2024-08-23","",""
"","","","","","","22 (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","spotify:track:2T9WeqSMJJb8YBDHPYGU4p","null","null","null","2024-08-23","",""
"","","","","Some fun south Indian songs","2024-07-02","Urike Urike","Sid Sriram","Urike Urike (From ""Hit 2"") - Single","spotify:track:7dT21sIYXtxJpIEBIdUSuu","null","null","null","2024-07-02","null","1"
"","","","","","","Srivalli (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad","Srivalli (From ""Pushpa - The Rise"")(Telugu)","spotify:track:2YmXGUx32C3CUEgcAyHcGf","null","null","null","2024-07-02","",""
"","","","","","","Illuminati","Sushin Shyam","Aavesham","spotify:track:1a1xLj9W8libnO9PvJf6ao","null","null","null","2024-07-02","",""
"","","","","","","Vaa Senthaazhini - From ""Adiyae""","Justin Prabhakaran","Vaa Senthaazhini","spotify:track:4EkYBqzQCGDVNoL3NU4WZo","null","null","null","2024-07-02","",""
"","","","","","","Nee Nenacha","Hiphop Tamizha","Mr. Local","spotify:track:2gp0OtnltLdrcNhKHVL2qM","null","null","null","2024-07-02","",""
"","","","","","","Vikram - Title Track","Anirudh Ravichander","Vikram","spotify:track:6FQQiTpYnfc5803p84bQp1","null","null","null","2024-07-02","",""
"","","","","13","2024-07-04","Tu hai kahan","AUR","Tu hai kahan","spotify:track:3zSSCPpLZ5Oc8nelhhGjKz","null","null","null","2024-07-02","null","0"
"","","","","","","Soulmate","Badshah","Ek Tha Raja","spotify:track:1tf2iody5iRLYYPDSBpzRc","null","null","null","2024-07-02","",""
"","","","","","","Zindagi Kuch Toh Bata","Pritam","Bajrangi Bhaijaan","spotify:track:62VUSRdvSo53fRsfveton5","null","null","null","2024-07-02","",""
"","","","","","","Ilahi","Pritam","Yeh Jawaani Hai Deewani","spotify:track:5cgKosPPj5Cs9a2JQufUc1","null","null","null","2024-07-02","",""
"","","","","","","Sajni (From ""Laapataa Ladies"")","Ram Sampath","Sajni (From ""Laapataa Ladies"")","spotify:track:5zCnGtCl5Ac5zlFHXaZmhy","null","null","null","2024-07-02","",""
"","","","","","","Shikayat","AUR","Shikayat","spotify:track:7e2dvR0ySx1bBJRDxVJiG1","null","null","null","2024-07-02","",""
"","","","","","","Long time no see","Taimour Baig","Long time no see","spotify:track:6V4N3h4HYD1Ask9cUTxjjg","null","null","null","2024-07-02","",""
"","","","","","","Pasoori","Shae Gill","Pasoori","spotify:track:7lvDsmTRXFE3dK4OjvRiWB","null","null","null","2024-07-02","",""
"","","","","","","Chaand Baaliyan","Aditya A","Chaand Baaliyan","spotify:track:0snQrp1VaY5Pj1YIHRJpRJ","null","null","null","2024-07-02","",""
"","","","","","","nadaaniyan","Akshath","nadaaniyan","spotify:track:3bmsaFp11I9pbicxzlStf3","null","null","null","2024-07-02","",""
"","","","","","","Malang Sajna","Sachet Tandon","Malang Sajna","spotify:track:73K33p4Vyz9koXGqmL5eFs","null","null","null","2024-07-03","",""
"","","","","","","Maan Meri Jaan","King","Champagne Talk","spotify:track:1418IuVKQPTYqt7QNJ9RXN","null","null","null","2024-07-03","",""
"","","","","","","Farq hai","Suzonn","Farq hai","spotify:track:6MZyrnqwsLnrWY5Gk0AyXg","null","null","null","2024-07-03","",""
"","","","","","","5 am","Zaeden","5 am","spotify:track:2Wn4C2J3naPghLX3pDSJra","null","null","null","2024-07-03","",""
"","","","","","","Mahiye Jinna Sohna","Darshan Raval","Dard","spotify:track:0Jiaz0O4AqnJICa9PxHhaR","null","null","null","2024-07-03","",""
"","","","","","","Gul","Anuv Jain","Gul","spotify:track:6ivemTXTn27PwVjtd0oqDs","null","null","null","2024-07-03","",""
"","","","","","","Baarishein","Anuv Jain","Baarishein","spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W","null","null","null","2024-07-03","",""
"","","","","","","Khwaab","Anumita Nadesan","Khwaab","spotify:track:0iEdt7cayQ2XbicDeWFztj","null","null","null","2024-07-03","",""
"","","","","","","Pal Behta Jaaye","Vismay Patel","Pal Behta Jaaye","spotify:track:0fIbPMXnTdyuW2UirA9mWQ","null","null","null","2024-07-03","",""
"","","","","","","Sun Lo Na (Raw)","Suzonn","Sun Lo Na (Raw)","spotify:track:7j8aPlwDS6ip8LQXbGjLfx","null","null","null","2024-07-03","",""
"","","","","","","Bye","Aditya Bhardwaj","Bye","spotify:track:0PGU5mcLncBYE8yuVpSwqA","null","null","null","2024-07-04","",""
"","","","","7","2025-01-31","This Thing Called Love","Stephen Sanchez","Angel Face","spotify:track:3ozxltWRX58CbnS129EbDk","null","null","null","2024-06-07","null","0"
"","","","","","","Forever & Again","The Kid LAROI","Barbie The Album","spotify:track:2pdbNPIBRuAyspK97Blj0a","null","null","null","2024-06-07","",""
"","","","","","","I Wish It Was Me","Etham","I Wish It Was Me","spotify:track:5pu1NHwlPjOZVx6tP6IyL0","null","null","null","2024-06-07","",""
"","","","","","","Flightless Bird, American Mouth","Iron & Wine","The Shepherd's Dog","spotify:track:1fEGtTZjrjJW8eUeewnNJR","null","null","null","2024-06-07","",""
"","","","","","","Not Today","Imagine Dragons","Me Before You","spotify:track:4kDTvLhGF29gFsqceuxBSC","null","null","null","2024-06-07","",""
"","","","","","","Hard To Be Human","Anson Seabra","Hard To Be Human","spotify:track:3rhcTGF7AK0QsSzMmLVkqu","null","null","null","2024-06-07","",""
"","","","","","","Great Balls Of Fire - Live","Miles Teller","Top Gun: Maverick","spotify:track:79iLGWV1TP277jSF8QJEo3","null","null","null","2024-06-18","",""
"","","","","","","Zindagi Kuch Toh Bata","Pritam","Bajrangi Bhaijaan","spotify:track:62VUSRdvSo53fRsfveton5","null","null","null","2024-06-18","",""
"","","","","","","this is how you fall in love","Jeremy Zucker","brent ii","spotify:track:1aEsTgCsv8nOjEgyEoRCpS","null","null","null","2024-06-18","",""
"","","","","","","Closure","Hayd","Changes - EP","spotify:track:3pt2acuxLXvIGproniPoq9","null","null","null","2024-06-18","",""
"","","","","","","All Too Well (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","spotify:track:3nsfB1vus2qaloUdcBZvDu","null","null","null","2024-06-18","",""
"","","","","","","Tu hai kahan","AUR","Tu hai kahan","spotify:track:3zSSCPpLZ5Oc8nelhhGjKz","null","null","null","2024-07-01","",""
"","","","","","","Soulmate","Badshah","Ek Tha Raja","spotify:track:1tf2iody5iRLYYPDSBpzRc","null","null","null","2024-07-01","",""
"","","","","","","drunk text","Henry Moodie","in all of my lonely nights","spotify:track:6EIMUjQ7Q8Zr2VtIUik4He","null","null","null","2024-07-01","",""
"","","","","","","Those Eyes","New West","Based On A True Story...","spotify:track:2psRActEWsTlYYd7EDoyVR","null","null","null","2024-07-01","",""
"","","","","","","RICH BOY","payton","RICH BOY","spotify:track:5BEZtiV4ClWO0L2J0Mw7Hf","null","null","null","2024-07-01","",""
"","","","","","","Stargazing","Myles Smith","Stargazing","spotify:track:3Vr3zh0r7ALn8VLqCiRR10","null","null","null","2024-07-01","",""
"","","","","","","let them know they're on your mind","Cavetown","little vice","spotify:track:4vnGPRXFANbpqKfhBYuntT","null","null","null","2024-07-16","",""
"","","","","","","Ima -Even if the world ends tomorrow- (Korean Ver.)","SEVENTEEN","SEVENTEEN BEST ALBUM '17 IS RIGHT HERE'","spotify:track:2NSCKPxS53FFgIOgiMAFZy","null","null","null","2024-07-16","",""
"","","","","","","Old Navy Blue","Lewis Capaldi","Broken By Desire To Be Heavenly Sent","spotify:track:2sZxMkr5Qq5FzaymQy2nFc","null","null","null","2024-07-16","",""
"","","","","","","Forever Star(《偷偷藏不住》电视剧插曲)","張洢豪","《偷偷藏不住》影视原声专辑","spotify:track:4hZUa0IFUOHhvZhK1YwXHu","null","null","null","2024-07-16","",""
"","","","","","","Fine","Anson Seabra","Fine","spotify:track:44YdhNlWuhuyiKVl0INaWU","null","null","null","2024-08-16","",""
"","","","","","","On Melancholy Hill","Gorillaz","Plastic Beach","spotify:track:0q6LuUqGLUiCPP1cbdwFs3","null","null","null","2024-08-31","",""
"","","","","","","All of the Stars","Hayd","All of the Stars","spotify:track:1mjhuvf6QZTniMwb2dHjtp","null","null","null","2025-01-06","",""
"","","","","","","Tragedy Is Not the End","Joel Ansett","The Nature of Us","spotify:track:0yBn4IZ6N5suIijM6qauNI","null","null","null","2025-01-31","",""
"","","","","","","Away With The Fairies","Sam Temple","Away With The Fairies","spotify:track:4bfVIKrF2QDURgO6o4OEQH","null","null","null","2025-01-31","",""
"","","","","Ye ye","2024-07-16","Sacrifice Tomorrow","Alec Benjamin","12 Notes","spotify:track:1wHw3mr097ZPxxBs4vZfWp","null","null","null","2024-05-16","null","0"
"","","","","","","Lead Me To Water","Alec Benjamin","12 Notes","spotify:track:22JXVS6VJ5Ui1VUFXtCbNK","null","null","null","2024-05-16","",""
"","","","","","","King Size Bed","Alec Benjamin","12 Notes","spotify:track:5U5sa5B1sZbRuuktBGtoW6","null","null","null","2024-05-16","",""
"","","","","","","Pick Me","Alec Benjamin","12 Notes","spotify:track:1pxQVU5FAC03VzFnBtvF08","null","null","null","2024-05-16","",""
"","","","","","","All of the Stars","Hayd","All of the Stars","spotify:track:1mjhuvf6QZTniMwb2dHjtp","null","null","null","2024-05-16","",""
"","","","","","","Without You","Chelsea Cutler","When I Close My Eyes","spotify:track:1gHneNKSdPwj8IQ4cWz9eQ","null","null","null","2024-05-16","",""
"","","","","","","If Only My Heart Could Speak","Cody Fry","Pictures of Mountains","spotify:track:5sD70nkqeg0SLDi3S5PgYl","null","null","null","2024-05-16","",""
"","","","","","","What If","Cody Fry","What If","spotify:track:1ENH0YTu0OiRykq00M9Z0c","null","null","null","2024-05-16","",""
"","","","","","","Love The Ones Who Leave","Alec Benjamin","12 Notes","spotify:track:6ZBifLV2upS9TxrO8Pp15U","null","null","null","2024-05-16","",""
"","","","","","","Don't Give Up On Me - (From ""Five Feet Apart"")","Andy Grammer","Don't Give Up On Me","spotify:track:4Y0TtDriFlN3XZoQx6PYsu","null","null","null","2024-05-16","",""
"","","","","","","Come Inside Of My Heart","IV Of Spades","CLAPCLAPCLAP!","spotify:track:3Eb5sztvEMa0Mqnb8DUAlU","null","null","null","2024-05-16","",""
"","","","","","","Tu Chahiye","Pritam","Bajrangi Bhaijaan","spotify:track:3aaiAWCet6sbfOfLSn3g7i","null","null","null","2024-05-16","",""
"","","","","","","odoriko","Vaundy","odoriko","spotify:track:1uK4zAdMcBRyinAOArUA5X","null","null","null","2024-05-16","",""
"","","","","","","Photograph","Ed Sheeran","x","spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL","null","null","null","2024-05-16","",""
"","","","","","","Can't Take My Eyes Off You","Joseph Vincent","Can't Take My Eyes Off You","spotify:track:5O0vv59rTNu0zJ2s9xI2GW","null","null","null","2024-05-16","",""
"","","","","","","Khaabon Ke Parinday","Alyssa Mendonsa","Zindagi Na Milegi Dobara","spotify:track:14eotumM24MhIgzidgN3Jx","null","null","null","2024-05-16","",""
"","","","","","","Uff Teri Adaa","Shankar Mahadevan","Karthik Calling Karthik","spotify:track:0og9wKFGgFFNQnrBe7eisG","null","null","null","2024-05-16","",""
"","","","","","","Marry You","Bruno Mars","Doo-Wops & Hooligans","spotify:track:22PMfvdz35fFKYnJyMn077","null","null","null","2024-05-16","",""
"","","","","","","Made You Look","Meghan Trainor","Takin' It Back","spotify:track:0QHEIqNKsMoOY5urbzN48u","null","null","null","2024-05-16","",""
"","","","","","","Deeper Than It Seems","Jace June","Deeper Than It Seems","spotify:track:1B0os1TYAHh0UdOVBpHvMR","null","null","null","2024-05-18","",""
"","","","","","","People Watching","Conan Gray","Superache","spotify:track:3TFoEJe5zNuHZStRboWPxg","null","null","null","2024-05-18","",""
"","","","","","","this is how you fall in love","Jeremy Zucker","brent ii","spotify:track:1aEsTgCsv8nOjEgyEoRCpS","null","null","null","2024-05-18","",""
"","","","","","","fingers crossed","elijah woods","fingers crossed","spotify:track:7jb91qnNv2R1XdrICW4A0y","null","null","null","2024-05-18","",""
"","","","","","","Before You","Benson Boone","Before You","spotify:track:523f4oSjrZx83XDtRLnsIw","null","null","null","2024-05-18","",""
"","","","","","","Fall Into Me","Forest Blakk","I Saw Love","spotify:track:5AWVGdsk88fcsrssrAdyEN","null","null","null","2024-05-18","",""
"","","","","","","let them know they're on your mind","Cavetown","little vice","spotify:track:4vnGPRXFANbpqKfhBYuntT","null","null","null","2024-07-16","",""
"","","","","\°_°/","2024-08-16","Animal","Neon Trees","Habits","spotify:track:1fBl642IhJOE5U319Gy2Go","null","null","null","2024-03-10","null","0"
"","","","","","","Everybody Talks","Neon Trees","Picture Show","spotify:track:2iUmqdfGZcHIhS3b9E9EWq","null","null","null","2024-03-10","",""
"","","","","","","Crush","Tessa Violet","Bad Ideas","spotify:track:6MYJv37Mpj5njLLbxKWNun","null","null","null","2024-03-10","",""
"","","","","","","Classic","MKTO","MKTO","spotify:track:6FE2iI43OZnszFLuLtvvmg","null","null","null","2024-03-10","",""
"","","","","","","Dear Future Husband","Meghan Trainor","Title","spotify:track:3cU2wBxuV6nFiuf6PJZNlC","null","null","null","2024-03-10","",""
"","","","","","","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","spotify:track:4kbj5MwxO1bq9wjT5g9HaA","null","null","null","2024-03-10","",""
"","","","","","","Electric Love","BØRNS","Dopamine","spotify:track:2GiJYvgVaD2HtM8GqD9EgQ","null","null","null","2024-03-10","",""
"","","","","","","Still into You","Paramore","Paramore","spotify:track:1yjY7rpaAQvKwpdUliHx0d","null","null","null","2024-03-10","",""
"","","","","","","Teenage Dream","Katy Perry","Teenage Dream","spotify:track:5jzKL4BDMClWqRguW5qZvh","null","null","null","2024-03-10","",""
"","","","","","","Hey, Soul Sister","Train","Save Me, San Francisco (Golden Gate Edition)","spotify:track:4HlFJV71xXKIGcU3kRyttv","null","null","null","2024-03-10","",""
"","","","","","","22","Taylor Swift","Red","spotify:track:6ce41JVa6KFaryfmC2bu2W","null","null","null","2024-03-10","",""
"","","","","","","Best Song Ever","One Direction","Midnight Memories (Deluxe)","spotify:track:5T7ZFtCcOgkpjxcuaeZbw0","null","null","null","2024-03-10","",""
"","","","","","","I Lived","OneRepublic","Native","spotify:track:3IQF4xCQUPicbA4hWfTxPo","null","null","null","2024-03-10","",""
"","","","","","","Shower","Becky G","Shower","spotify:track:3DmW6y7wTEYHJZlLo1r6XJ","null","null","null","2024-03-10","",""
"","","","","","","What Makes You Beautiful","One Direction","Up All Night","spotify:track:4cluDES4hQEUhmXj6TXkSo","null","null","null","2024-03-10","",""
"","","","","","","Castle on the Hill","Ed Sheeran","÷","spotify:track:6PCUP3dWmTjcTtXY02oFdT","null","null","null","2024-03-10","",""
"","","","","","","Someone To You","BANNERS","Where The Shadow Ends","spotify:track:2f0pn9DkEJwAzXApnFh5cr","null","null","null","2024-03-10","",""
"","","","","","","Count on Me","Bruno Mars","Doo-Wops & Hooligans","spotify:track:7l1qvxWjxcKpB9PCtBuTbU","null","null","null","2024-03-10","",""
"","","","","","","Sit Still, Look Pretty","Daya","Sit Still, Look Pretty","spotify:track:6ZtiywT2Qm50a1uR0jlY35","null","null","null","2024-03-10","",""
"","","","","","","Closer","The Chainsmokers","Closer","spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","null","null","null","2024-03-10","",""
"","","","","","","Best Day Of My Life","American Authors","Oh, What A Life","spotify:track:5Hroj5K7vLpIG4FNCRIjbP","null","null","null","2024-03-16","",""
"","","","","","","Good Time","Owl City","The Midsummer Station","spotify:track:1kPpge9JDLpcj15qgrPbYX","null","null","null","2024-03-16","",""
"","","","","","","Glad You Came","The Wanted","Battleground","spotify:track:5yDL13y5giogKs2fSNf7sj","null","null","null","2024-03-16","",""
"","","","","","","Fireflies","Owl City","Ocean Eyes","spotify:track:3DamFFqW32WihKkTVlwTYQ","null","null","null","2024-03-16","",""
"","","","","","","Better When I'm Dancin'","Meghan Trainor","Better When I'm Dancin'","spotify:track:5k5fWendNngd89O8JKoE8L","null","null","null","2024-03-16","",""
"","","","","","","2002","Anne-Marie","Speak Your Mind","spotify:track:2BgEsaKNfHUdlh97KmvFyo","null","null","null","2024-03-16","",""
"","","","","","","I Knew You Were Trouble.","Taylor Swift","Red","spotify:track:6FB3v4YcR57y4tXFcdxI1E","null","null","null","2024-08-02","",""
"","","","","","","Geronimo","Sheppard","Bombs Away","spotify:track:0qt5f5EL92o8Snzopsv0en","null","null","null","2024-08-02","",""
"","","","","","","Honey, I'm Good","Andy Grammer","Magazines Or Novels","spotify:track:4Tt6GiWS2V9sQjZjS2xjp2","null","null","null","2024-08-02","",""
"","","","","","","Last Friday Night (T.G.I.F.)","Katy Perry","Teenage Dream","spotify:track:3avYqdwHKEq8beXbeWCKqJ","null","null","null","2024-08-02","",""
"","","","","","","Dynamite","Taio Cruz","Rokstarr","spotify:track:1DqdF42leyFIzqNDv9CjId","null","null","null","2024-08-02","",""
"","","","","","","Fireball (feat. John Ryan)","Pitbull","Globalization","spotify:track:4Y7XAxTANhu3lmnLAzhWJW","null","null","null","2024-08-02","",""
"","","","","","","Bang Bang","Jessie J","Sweet Talker","spotify:track:0puf9yIluy9W0vpMEUoAnN","null","null","null","2024-08-02","",""
"","","","","","","Paper Rings","Taylor Swift","Lover","spotify:track:4y5bvROuBDPr5fuwXbIBZR","null","null","null","2024-08-16","",""
"","","","","","","All Too Well (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","spotify:track:3nsfB1vus2qaloUdcBZvDu","null","null","null","2024-08-16","",""
"","","","",".","2024-03-07","Fix You","Coldplay","X&Y","spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","null","null","null","2024-02-25","null","0"
"","","","","","","Creep - Acoustic","Radiohead","Creep EP","spotify:track:6JpjIy1M7oxvPJ3uVdUKTe","null","null","null","2024-02-25","",""
